division,calendar_week,paid_views,organic_views,google_impressions,email_impressions,facebook_impressions,affiliate_impressions,overall_views,sales,total_impressions,total_views,sov_google_pct,sov_email_pct,sov_facebook_pct,sov_affiliate_pct,sales_per_1000_impressions,sales_per_view,efficiency_google,efficiency_email,efficiency_facebook,efficiency_affiliate,grp_proxy,reach_proxy,frequency_proxy,wow_total_impressions_pct,wow_sales_pct,wow_facebook_impressions_pct,wow_google_impressions_pct,z_total_impressions,z_sales,z_facebook_impressions,z_google_impressions,is_anomaly_period
A,2018-01-06,392,422,408,349895.0107,73580,12072,682,59417,435955.0107,1496,0.09,80.26,16.88,2.77,136.2916,39.7172,145.6299,0.1698,0.8075,4.9219,41.56,145318.0,3.0,,,,,-1.059,-0.706,-0.483,-1.22,0
A,2018-01-13,787,904,110,506270.2176,11804,9499,853,56806,527683.2176,2544,0.02,95.94,2.24,1.8,107.6517,22.3294,516.4182,0.1122,4.8124,5.9802,50.3,175894.0,3.0,21.04,-4.39,-83.96,-73.04,-0.9,-0.748,-0.824,-1.221,0
A,2018-01-20,81,970,742,430042.1538,52232,17048,759,48715,500064.1538,1810,0.15,86.0,10.45,3.41,97.4175,26.9144,65.6536,0.1133,0.9327,2.8575,47.67,166688.0,3.0,-5.23,-14.24,342.49,574.55,-0.948,-0.878,-0.601,-1.219,0
A,2018-01-27,25,575,65,417745.6658,78640,10207,942,72047,506657.6658,1542,0.01,82.45,15.52,2.01,142.2006,46.7231,1108.4154,0.1725,0.9162,7.0586,48.3,168886.0,3.0,1.32,47.89,50.56,-91.24,-0.937,-0.503,-0.456,-1.221,0
A,2018-02-03,565,284,295,408505.8012,40561,5834,658,56235,455195.8012,1507,0.06,89.74,8.91,1.28,123.5402,37.3159,190.6271,0.1377,1.3864,9.6392,43.39,151732.0,3.0,-10.16,-21.95,-48.42,353.85,-1.025,-0.757,-0.665,-1.22,0
A,2018-02-10,256,330,683,434729.755,36750,8469,691,56347,480631.755,1277,0.14,90.45,7.65,1.76,117.2353,44.1245,82.4993,0.1296,1.5333,6.6533,45.82,160211.0,3.0,5.59,0.2,-9.4,131.53,-0.981,-0.756,-0.686,-1.219,0
A,2018-02-17,886,56,664,634432.9117,112489,8331,685,81604,755916.9117,1627,0.09,83.93,14.88,1.1,107.9537,50.1561,122.8976,0.1286,0.7254,9.7952,72.06,251972.0,3.0,57.28,44.82,206.09,-2.78,-0.506,-0.35,-0.269,-1.219,0
A,2018-02-24,336,99,470,555036.3088,218,6319,569,80492,562043.3088,1004,0.08,98.75,0.04,1.12,143.2132,80.1713,171.2596,0.145,369.2294,12.7381,53.58,187348.0,3.0,-25.65,-1.36,-99.81,-29.22,-0.841,-0.368,-0.887,-1.22,0
A,2018-03-03,305,209,501,423690.0837,13065,7898,772,61804,445154.0837,1286,0.11,95.18,2.93,1.77,138.8373,48.0591,123.3613,0.1459,4.7305,7.8253,42.44,148385.0,3.0,-20.8,-23.22,5893.12,6.6,-1.043,-0.668,-0.817,-1.22,0
A,2018-03-10,955,283,609,471730.039,84449,8428,833,64944,565216.039,2071,0.11,83.46,14.94,1.49,114.9012,31.3588,106.6404,0.1377,0.769,7.7057,53.88,188405.0,3.0,26.97,5.08,546.38,21.56,-0.835,-0.618,-0.424,-1.22,0
